Time,Open,High,Low,Close,Volume
1724599980,2764.21,2764.21,2761.68,2762.89,0
1724600280,2763.16,2764.4,2762.67,2764.23,0
1724600640,2764.62,2764.62,2760.95,2760.95,0
1724601000,2761.07,2762.38,2760.41,2762.38,0
1724601300,2763.6,2763.81,2762.51,2763.81,0
1724601600,2763.11,2769.89,2763.11,2769.89,0
1724602020,2769.02,2769.02,2763.13,2763.13,0
1724602380,2761.81,2767.32,2761.81,2765.77,0
1724602680,2764.75,2766.52,2764.63,2765,0
1724602980,2764.67,2764.67,2760.86,2762.25,0
1724603280,2762.98,2763.9,2762.14,2763.9,0
1724603580,2766.19,2767.37,2763.06,2763.06,0
1724603880,2761.23,2763.04,2761.23,2763.04,0
1724604180,2763.6,2764.85,2762.44,2762.44,0
1724604480,2762.27,2764.1,2762.2,2764.1,0
1724604840,2763.08,2763.08,2762.39,2762.72,0
1724605140,2763.68,2764.8,2763.18,2763.18,0
1724605440,2764.51,2766.49,2763.7,2763.7,0
1724605740,2765.4,2769.58,2765.4,2769.15,0
1724606040,2768.27,2768.27,2767.42,2767.42,0
1724606340,2767.23,2768.04,2766.53,2768.04,0
1724606640,2767.55,2767.55,2766.16,2766.42,0
1724606940,2767.49,2769.29,2766.68,2766.9,0
1724607240,2768.37,2769.18,2766.6,2769.18,0
1724607540,2769.59,2773,2769.59,2772.58,0
1724607900,2771.8,2771.8,2769.47,2769.47,0
1724608200,2770.02,2771.35,2770.02,2770.17,0
1724608500,2769.71,2771.7,2769.71,2771.7,0
1724608800,2771.22,2771.22,2770,2770.5,0
1724609100,2771.55,2771.55,2768.07,2768.07,0
1724609400,2768.51,2768.51,2767.71,2767.76,0
1724609760,2769.91,2769.91,2768.52,2769.04,0
1724610120,2768.73,2769.79,2767.61,2767.61,0
1724610480,2767.61,2768.56,2767.11,2768.56,0
1724610780,2768.3,2771,2768.3,2768.96,0
1724611080,2768.04,2769.24,2768.04,2769.24,0
1724611380,2771.27,2772.27,2770.82,2771.01,0
1724611680,2769.2,2769.2,2762.61,2762.61,0
1724611980,2761.6,2763.24,2761.54,2763.24,0
1724612280,2763.93,2765.08,2763.54,2763.78,0
1724612580,2763.68,2765.2,2763.68,2764.24,0
1724612880,2764.77,2765.82,2764.44,2765.82,0
1724613180,2766.13,2766.2,2764.2,2764.2,0
1724613540,2762.55,2764.52,2762.55,2764.52,0
1724613840,2764.52,2764.99,2763.4,2763.5,0
1724614140,2764.24,2764.24,2763,2764.16,0
1724614440,2764.63,2764.99,2763.88,2763.88,0
1724614740,2763.61,2764.41,2763.4,2763.4,0
1724615040,2764.49,2766.51,2764.49,2766.51,0
1724615340,2766.52,2766.52,2765.33,2765.92,0
1724615640,2766.28,2766.28,2766.06,2766.2,0
1724615940,2766.3,2767.2,2766.3,2766.73,0
1724616240,2765.8,2767.66,2765.8,2767.66,0
1724616540,2768.57,2769.86,2768.57,2768.97,0
1724616900,2770.34,2770.34,2766.4,2766.4,0
1724617200,2765.23,2766.54,2765.01,2765.67,0
1724617500,2765.67,2767.13,2765.67,2766.15,0
1724617800,2766.15,2769.38,2766.15,2769.38,0
1724618100,2768.79,2769.71,2768.79,2769.25,0
1724618400,2770.33,2771.59,2770.33,2770.81,0
1724618700,2770.84,2772.7,2770.84,2771.29,0
1724619000,2772.25,2772.59,2770.73,2771.19,0
1724619300,2771.19,2771.19,2769,2770.08,0
1724619600,2770.47,2770.53,2769.52,2769.71,0
1724619900,2770.87,2779.5,2770.87,2779.5,0
1724620200,2778.35,2779.48,2777.56,2779.1,0
1724620500,2780.63,2784.32,2780.63,2783.98,0
1724620800,2786.2,2791.32,2785.38,2785.38,0
1724621100,2787.23,2789.39,2786.4,2789.25,0
1724621400,2790.89,2790.89,2782.99,2785.37,0
1724621700,2782.35,2783.59,2780.36,2780.36,0
1724622060,2783.28,2783.28,2776.74,2776.74,0
1724622360,2778.91,2778.91,2776.31,2778.48,0
1724622660,2779.36,2780,2778.56,2780,0
1724622960,2781.51,2782.1,2779.11,2781.99,0
1724623260,2782.97,2784.73,2780.49,2780.49,0
1724623620,2776.42,2785.41,2776.42,2785.41,0
1724623980,2785.4,2785.4,2780.48,2780.76,0
1724624280,2780.52,2780.52,2775.73,2775.73,0
1724624580,2774.84,2774.84,2770.46,2771.6,0
1724624940,2771.34,2771.53,2769.7,2771.3,0
1724625240,2769.37,2769.87,2767.25,2768.8,0
1724625540,2767.77,2769.38,2767.77,2768.28,0
1724625900,2768.27,2768.45,2767,2767.65,0
1724626200,2766.04,2768.01,2766.04,2768.01,0
1724626500,2768.59,2772.08,2768.59,2771.04,0
1724626800,2771,2776.21,2771,2776.21,0
1724627100,2776,2776,2772.58,2773,0
1724627400,2772.79,2778.6,2772.79,2777.97,0
1724627700,2777.97,2777.97,2765.33,2765.33,0
1724628000,2763.99,2768.92,2763.99,2768.92,0
1724628300,2768.9,2775.94,2768.28,2768.28,0
1724628600,2768.1,2768.4,2764.19,2765.59,0
1724628900,2762.79,2764.41,2760.69,2760.79,0
1724629200,2759.3,2759.3,2751.72,2754.4,0
1724629500,2754.59,2754.59,2743.07,2743.5,0
1724629920,2744.64,2747,2744.64,2747,0
1724630220,2747.36,2749.24,2746.13,2749.24,0
1724630520,2749.4,2755.12,2749.4,2755.12,0
1724630820,2756.79,2756.8,2753.63,2756.8,0
1724631120,2753.65,2753.65,2746.28,2752.58,0
1724631420,2753.9,2753.9,2749.62,2751.79,0
1724631720,2752.67,2756.34,2752.67,2756.21,0
1724632020,2755.12,2757.96,2755.12,2757.28,0
1724632320,2759.86,2761.5,2757.95,2757.95,0
1724632620,2759.41,2759.41,2753.21,2753.21,0
1724632980,2751.64,2752.8,2750.73,2752.8,0
1724633280,2753.89,2753.89,2744.08,2748.76,0
1724633580,2752.3,2755.99,2752.3,2753.26,0
1724633880,2754.12,2754.5,2752.79,2752.79,0
1724634180,2751,2751,2748.01,2748.01,0
1724634540,2749.39,2755.57,2749.39,2755.57,0
1724634900,2753.93,2754.59,2753.93,2754.46,0
1724635200,2753.99,2756.23,2753.99,2754.03,0
1724635500,2754.83,2757.02,2754.83,2756.18,0
1724635800,2755.37,2755.37,2749.73,2749.73,0
1724636100,2748.59,2752.25,2748.52,2749.87,0
1724636460,2751.12,2751.12,2746.6,2748.2,0
1724636760,2749.4,2749.82,2744.04,2744.04,0
1724637060,2742.92,2743.8,2742.9,2743.6,0
1724637420,2744.76,2747.43,2744.76,2745.78,0
1724637720,2747.42,2748.39,2740.62,2744.31,0
1724638020,2742.22,2743.03,2740.99,2742.53,0
1724638320,2744.8,2745.72,2743.84,2744.93,0
1724638620,2745.99,2746.16,2726.08,2730.85,0
